date,lat,lon,depth,mag,eq_5km,eq_10km,eq_20km,eq_30km
2009-10-10 06:33:19.180000+00:00,39.8063333,-123.474,8.858,2.02,False,True,True,True
2009-10-10 07:40:13.500000+00:00,47.6595,-120.1993333,-0.357,2.2,False,False,False,False
2009-10-10 09:03:23.430000+00:00,46.1978333,-122.1876667,0.662,2.57,False,False,False,False
2009-10-10 10:17:25.630000+00:00,47.334,-122.3783333,28.739,1.8,False,False,True,True
2009-10-10 18:09:03.810000+00:00,40.4505,-120.6791667,14.433,1.76,False,False,False,False
2009-10-11 07:00:03.240000+00:00,40.6435,-124.3195,24.118,2.33,False,False,False,True
2009-10-11 20:23:14.050000+00:00,39.1811667,-123.0115,4.237,1.6,False,False,True,True
2009-10-11 20:34:37.210000+00:00,44.3565,-124.5185,29.38,2.1,False,False,False,True
2009-10-11 21:37:27.890000+00:00,43.096,-127.949,10.0,3.4,False,False,False,False
2009-10-12 02:17:49.300000+00:00,40.6065,-124.3731667,27.747,2.36,False,False,False,True
2009-10-12 03:28:51.250000+00:00,39.3486667,-123.2815,1.982,1.51,False,False,False,True
2009-10-12 06:22:43.210000+00:00,47.5603333,-122.299,23.699,1.5,False,False,True,True
2009-10-12 10:04:51.910000+00:00,39.8933333,-120.6731667,8.086,2.23,False,False,False,False
2009-10-12 11:10:03.550000+00:00,50.469,-130.201,10.0,4.4,False,False,False,False
2009-10-12 23:25:16.180000+00:00,40.343,-128.148,10.0,3.1,False,False,False,False
2009-10-12 23:25:31.290000+00:00,40.4261667,-126.6668333,4.562,3.12,False,False,False,False
2009-10-13 02:37:33.910000+00:00,43.3783333,-124.3533333,30.36,1.9,False,False,True,True
2009-10-13 05:00:50.940000+00:00,40.2938333,-124.541,24.297,2.21,False,False,False,True
2009-10-13 16:00:42.500000+00:00,40.1655,-121.42,7.445,1.81,False,False,False,False
2009-10-14 14:36:46.010000+00:00,41.4325,-122.8435,14.604,2.42,False,False,True,True
2009-10-14 17:33:29.160000+00:00,41.5876667,-121.586,-0.024,2.29,False,False,False,False
2009-10-14 20:39:45.080000+00:00,40.1951667,-121.2461667,0.464,2.0,False,False,False,False
2009-10-14 23:51:21.720000+00:00,47.6271667,-121.7655,15.261,1.6,False,False,False,False
2009-10-15 09:13:49.930000+00:00,40.1975,-121.2691667,9.586,1.82,False,False,False,False
2009-10-15 11:53:42.260000+00:00,39.3751667,-122.9013333,8.899,1.67,False,False,True,True
2009-10-15 17:10:04.580000+00:00,40.2075,-121.2658333,2.978,1.67,False,False,False,False
2009-10-15 22:47:34.610000+00:00,40.4156667,-124.6481667,25.547,2.53,False,False,False,False
2009-10-16 01:43:44.210000+00:00,39.1376667,-123.0135,6.757,1.53,False,False,True,True
2009-10-16 07:34:55.760000+00:00,47.949,-128.701,10.0,4.1,False,False,False,False
2009-10-16 13:42:29.120000+00:00,46.3948333,-119.2826667,-0.163,1.6,False,False,False,False
2009-10-16 23:51:08.310000+00:00,39.523,-122.9933333,7.191,1.54,False,False,True,True
2009-10-17 03:58:38.230000+00:00,40.2993333,-124.501,20.917,1.94,False,False,False,True
2009-10-17 08:40:02.170000+00:00,40.3783333,-125.0483333,6.397,2.28,False,False,True,True
2009-10-17 10:13:14.180000+00:00,40.4596667,-125.2215,2.575,2.7,False,False,False,False
